EventUrl,EventName,EventDate,EventVenue,AllAvailableTickets
https://www.ticketmaster.com/mens-final-womens-doubles-final-flushing-new-york-09-11-2022/event/1D005C67A9A91620,Men's Final / Women's Doubles Final,,"Arthur Ashe Stadium, Flushing, NY",837
https://www.ticketmaster.com/loona-kansas-city-missouri-08-08-2022/event/06005CBAFF9C925F,LOONA,,"Uptown Theater, Kansas City, MO",0
https://www.ticketmaster.com/loona-louisville-kentucky-08-13-2022/event/16005CBFA9104530,LOONA,,"Old Forester's Paristown Hall, Louisville, KY",3
https://www.ticketmaster.com/loona-national-harbor--maryland-08-17-2022/event/15005CBBA9B33379,LOONA,,"The Theater at MGM National Harbor, National Harbor , MD",36
https://www.ticketmaster.com/loona-chicago-08-11-2022/event/Z7r9jZ1Ad3_4s,LOONA,08/11/2022,,35
https://www.ticketmaster.com/morgan-wallen-the-dangerous-tour-arlington-texas-10-08-2022/event/0C005C708EF1233D,Morgan Wallen: The Dangerous Tour,10/08/2022,"Globe Life Field, Arlington, TX",882
https://www.ticketmaster.ca/luke-combs-canadian-tour-2022-montreal-quebec-11-18-2022/event/31005B1EACEC1F3C,Luke Combs Canadian Tour 2022,11/18/2022,"Centre Bell, Montreal, QC",143
https://www.ticketmaster.com/kid-rock-with-special-guest-foreigner-clarkston-michigan-09-16-2022/event/08005C35E35B55C6,Kid Rock with special guest Foreigner - Bad Reputation Tour,09/16/2022,"Pine Knob Music Theatre, Clarkston, MI",49
https://www.ticketmaster.com/kid-rock-with-special-guest-foreigner-clarkston-michigan-09-17-2022/event/08005C35FDFB5CC1,Kid Rock with special guest Foreigner - Bad Reputation Tour,09/17/2022,"Pine Knob Music Theatre, Clarkston, MI",44
https://www.ticketmaster.com/jerry-seinfeld-atlantic-city-new-jersey-12-10-2022/event/02005CC22AFFBAD1,Jerry Seinfeld,12/10/2022,"Borgata Event Center, Atlantic City, NJ",0
https://www.ticketmaster.com/seventeen-world-tour-be-the-sun-houston-08-20-2022/event/Z7r9jZ1Ad36uv,SEVENTEEN WORLD TOUR [BE THE SUN] - HOUSTON,08/20/2022,,81
https://www.ticketmaster.com/bruno-mars-boston-massachusetts-09-09-2022/event/01005C9DDC6F86C0,Bruno Mars,09/09/2022,"MGM Music Hall at Fenway, Boston, MA",90
https://www.ticketmaster.com/bruno-mars-boston-massachusetts-09-11-2022/event/01005C9DDC8186C7,Bruno Mars,09/11/2022,"MGM Music Hall at Fenway, Boston, MA",130
https://www.ticketmaster.com/george-strait-fort-worth-texas-11-19-2022/event/0C005C9690892E38,George Strait,11/19/2022,"Dickies Arena, Fort Worth, TX",383
https://www.ticketmaster.com/charli-xcx-crash-the-live-tour-washington-district-of-columbia-08-06-2022/event/15005C7ECCA05377,Charli XCX: CRASH The Live Tour 2022,08/06/2022,"The Anthem, Washington, DC",0
https://www.ticketmaster.com/pearl-jam-new-york-new-york-09-11-2022/event/3B0057937E57105E,Pearl Jam,09/11/2022,"Madison Square Garden, New York, NY",0
https://www.ticketmaster.com/the-smile-brooklyn-new-york-11-18-2022/event/30005CC6024815F7,The Smile,11/18/2022,"Kings Theatre, Brooklyn, NY",25
https://www.ticketmaster.com/smithereens-tour-presented-by-joji-washington-district-of-columbia-10-15-2022/event/15005CC7792C1F2C,SMITHEREENS Tour Presented By Joji,,"The Anthem, Washington, DC",0
https://www.ticketmaster.com/muse-new-york-new-york-10-16-2022/event/3B005CBFD35226E2,Muse,10/16/2022,"Beacon Theatre, New York, NY",56
https://www.ticketmaster.com/george-strait-las-vegas-12-03-2022/event/Z7r9jZ1Ad370U,George Strait,12/03/2022,,270
https://www.ticketmaster.com/the-mars-volta-tour-seattle-washington-10-14-2022/event/0F005CCF7C8D47C8,The Mars Volta Tour,10/14/2022,"Moore Theatre, Seattle, WA",18
https://www.ticketmaster.com/weird-al-yankovic-unfortunate-return-of-minneapolis-minnesota-07-24-2022/event/06005B78E2E06495,Weird Al Yankovic: Unfortunate Return of the Ill-Advised Vanity Tour,,"State Theatre, Minneapolis, MN",0
https://www.ticketmaster.com/dpr-regime-world-tour-2022-new-york-new-york-09-24-2022/event/00005C81D82B7B9C,DPR  - Regime World Tour 2022,09/24/2022,"Manhattan Center Hammerstein Ballroom, New York, NY",5
https://www.ticketmaster.com/itzy-the-1st-world-tour-checkmate-new-york-new-york-11-13-2022/event/3B005CD1EC822DBD,"ITZY The 1st World Tour ""Checkmate""",,"Hulu Theater at Madison Square Garden, New York, NY",129
